Animal_ID,Timestamp,temp_without_drink_cycles,animal_activity
11586,2018-07-08 00:01:00,39.67,3.30
11381,2018-07-08 00:02:00,38.66,6.91
4382,2018-07-08 00:02:00,39.49,5.20
4380,2018-07-08 00:02:00,39.88,2.99
11593,2018-07-08 00:03:00,40.19,3.05
11587,2018-07-08 00:03:00,40.37,9.60
2719,2018-07-08 00:04:00,40.19,5.36
9659,2018-07-08 00:07:00,40.08,3.54
11552,2018-07-08 00:08:00,39.80,6.78
11586,2018-07-08 00:11:00,39.70,4.22
4380,2018-07-08 00:12:00,39.80,3.21
11381,2018-07-08 00:12:00,38.92,8.05
4382,2018-07-08 00:12:00,39.46,4.86
11587,2018-07-08 00:13:00,40.37,7.58
11593,2018-07-08 00:13:00,40.11,3.45
2719,2018-07-08 00:14:00,40.11,5.34
9659,2018-07-08 00:17:00,40.00,1.94
11552,2018-07-08 00:18:00,39.72,6.30
11586,2018-07-08 00:21:00,39.76,4.98
4382,2018-07-08 00:22:00,39.38,6.75
11381,2018-07-08 00:22:00,38.95,7.32
4380,2018-07-08 00:22:00,39.72,3.28
11593,2018-07-08 00:23:00,40.10,3.18
11587,2018-07-08 00:23:00,40.37,6.70
2719,2018-07-08 00:24:00,40.02,5.60
9659,2018-07-08 00:27:00,39.92,2.43
11552,2018-07-08 00:28:00,39.63,6.30
11586,2018-07-08 00:31:00,39.82,5.70
4380,2018-07-08 00:32:00,39.67,2.25
4382,2018-07-08 00:32:00,39.29,11.28
11381,2018-07-08 00:32:00,39.01,5.95
11593,2018-07-08 00:33:00,40.16,4.42
11587,2018-07-08 00:33:00,40.37,5.90
2719,2018-07-08 00:34:00,39.94,5.68
9659,2018-07-08 00:37:00,39.83,3.47
11552,2018-07-08 00:38:00,39.55,5.14
11586,2018-07-08 00:41:00,39.82,3.74
4380,2018-07-08 00:42:00,39.82,1.72
4382,2018-07-08 00:42:00,39.21,8.66
11381,2018-07-08 00:42:00,39.10,7.65
11593,2018-07-08 00:43:00,40.22,4.48
11587,2018-07-08 00:43:00,40.31,6.18
2719,2018-07-08 00:44:00,39.86,5.85
9659,2018-07-08 00:47:00,39.75,5.70
11552,2018-07-08 00:48:00,39.47,4.02
11586,2018-07-08 00:51:00,39.74,3.92
4380,2018-07-08 00:52:00,39.82,3.69
11381,2018-07-08 00:52:00,39.10,3.74
4382,2018-07-08 00:52:00,39.13,3.74
11587,2018-07-08 00:53:00,40.28,4.86
11593,2018-07-08 00:53:00,40.25,4.23
2719,2018-07-08 00:54:00,39.77,3.70
9659,2018-07-08 00:57:00,39.67,2.99
11552,2018-07-08 00:58:00,39.38,2.72
11586,2018-07-08 01:01:00,39.66,6.49
11381,2018-07-08 01:02:00,39.10,5.50
4382,2018-07-08 01:02:00,39.04,4.12
4380,2018-07-08 01:02:00,39.79,3.15
11593,2018-07-08 01:03:00,40.25,4.47
11587,2018-07-08 01:03:00,40.28,6.72
2719,2018-07-08 01:04:00,39.73,3.07
9659,2018-07-08 01:07:00,39.58,3.21
11552,2018-07-08 01:08:00,39.34,2.67
11586,2018-07-08 01:11:00,39.57,7.97
4380,2018-07-08 01:12:00,39.79,4.64
11381,2018-07-08 01:12:00,39.10,6.81
4382,2018-07-08 01:12:00,39.10,3.04
11587,2018-07-08 01:13:00,40.19,8.12
11593,2018-07-08 01:13:00,40.28,3.60
2719,2018-07-08 01:14:00,39.76,3.48
9659,2018-07-08 01:17:00,39.50,3.25
11552,2018-07-08 01:18:00,39.58,3.37
11586,2018-07-08 01:21:00,39.49,6.34
4380,2018-07-08 01:22:00,39.79,4.15
4382,2018-07-08 01:22:00,39.19,5.05
11381,2018-07-08 01:22:00,39.22,3.48
11593,2018-07-08 01:23:00,40.28,2.89
11587,2018-07-08 01:23:00,40.11,9.59
2719,2018-07-08 01:24:00,39.82,4.08
9659,2018-07-08 01:27:00,39.52,2.69
11552,2018-07-08 01:28:00,39.76,3.09
11586,2018-07-08 01:31:00,39.41,5.04
11381,2018-07-08 01:32:00,39.22,2.49
4380,2018-07-08 01:32:00,39.82,2.09
4382,2018-07-08 01:32:00,39.22,12.74
11587,2018-07-08 01:33:00,40.03,8.04
11593,2018-07-08 01:33:00,40.31,3.68
2719,2018-07-08 01:34:00,39.85,2.88
9659,2018-07-08 01:37:00,39.52,4.42
11552,2018-07-08 01:38:00,39.76,3.49
11586,2018-07-08 01:41:00,39.32,4.33
11381,2018-07-08 01:42:00,39.19,2.70
4380,2018-07-08 01:42:00,39.88,2.34
4382,2018-07-08 01:42:00,39.22,7.68
11593,2018-07-08 01:43:00,40.34,2.92
11587,2018-07-08 01:43:00,40.12,7.43
2719,2018-07-08 01:44:00,39.94,3.69
9659,2018-07-08 01:47:00,39.52,2.65
11552,2018-07-08 01:48:00,39.76,6.05
11586,2018-07-08 01:51:00,39.25,3.74
4380,2018-07-08 01:52:00,39.97,1.90
4382,2018-07-08 01:52:00,39.22,9.99
11381,2018-07-08 01:52:00,39.19,5.03
11593,2018-07-08 01:53:00,40.37,3.40
11587,2018-07-08 01:53:00,40.12,6.34
2719,2018-07-08 01:54:00,40.00,3.91
9659,2018-07-08 01:57:00,39.52,2.39
11552,2018-07-08 01:58:00,39.76,12.02
11586,2018-07-08 02:01:00,39.37,7.50
11381,2018-07-08 02:02:00,39.31,4.93
4382,2018-07-08 02:02:00,39.25,8.17
4380,2018-07-08 02:02:00,40.03,3.60
11593,2018-07-08 02:03:00,40.43,12.30
11587,2018-07-08 02:03:00,40.04,7.06
2719,2018-07-08 02:04:00,40.10,5.25
9659,2018-07-08 02:07:00,39.52,3.05
11552,2018-07-08 02:08:00,39.79,4.72
11586,2018-07-08 02:11:00,39.49,3.81
11381,2018-07-08 02:12:00,39.34,4.17
4380,2018-07-08 02:12:00,40.19,2.63
4382,2018-07-08 02:12:00,39.25,6.25
11593,2018-07-08 02:13:00,40.43,3.05
11587,2018-07-08 02:13:00,39.96,6.11
2719,2018-07-08 02:14:00,40.12,3.20
9659,2018-07-08 02:17:00,39.52,3.06
11552,2018-07-08 02:18:00,39.91,10.37
11586,2018-07-08 02:21:00,39.67,3.89
4382,2018-07-08 02:22:00,39.31,7.30
4380,2018-07-08 02:22:00,40.19,4.32
11381,2018-07-08 02:22:00,39.34,8.32
11587,2018-07-08 02:23:00,39.91,6.93
11593,2018-07-08 02:23:00,40.35,5.34
2719,2018-07-08 02:24:00,40.12,3.03
9659,2018-07-08 02:27:00,39.52,2.50
11552,2018-07-08 02:28:00,39.94,8.42
11586,2018-07-08 02:31:00,39.67,3.28
4380,2018-07-08 02:32:00,40.19,3.35
4382,2018-07-08 02:32:00,39.31,6.96
11381,2018-07-08 02:32:00,39.34,5.81
11593,2018-07-08 02:33:00,40.26,5.11
11587,2018-07-08 02:33:00,39.94,7.23
2719,2018-07-08 02:34:00,40.12,2.44
9659,2018-07-08 02:37:00,39.55,2.49
11552,2018-07-08 02:38:00,40.03,6.21
11586,2018-07-08 02:41:00,39.70,6.83
4382,2018-07-08 02:42:00,39.31,5.93
4380,2018-07-08 02:42:00,40.19,1.87
11381,2018-07-08 02:42:00,39.28,4.88
11587,2018-07-08 02:43:00,40.00,4.65
11593,2018-07-08 02:43:00,40.18,4.64
2719,2018-07-08 02:44:00,40.19,3.08
9659,2018-07-08 02:47:00,39.58,3.85
11552,2018-07-08 02:48:00,40.03,4.98
11586,2018-07-08 02:51:00,39.70,9.33
4382,2018-07-08 02:52:00,39.28,4.74
4380,2018-07-08 02:52:00,40.12,2.18
11381,2018-07-08 02:52:00,39.28,5.61
11593,2018-07-08 02:53:00,40.10,3.74
11587,2018-07-08 02:53:00,40.10,5.45
2719,2018-07-08 02:54:00,40.22,5.11
9659,2018-07-08 02:57:00,39.64,3.95
11552,2018-07-08 02:58:00,39.95,4.02
11586,2018-07-08 03:01:00,39.70,5.70
4382,2018-07-08 03:02:00,39.28,4.42
11381,2018-07-08 03:02:00,39.31,4.19
4380,2018-07-08 03:02:00,40.06,2.24
11593,2018-07-08 03:03:00,40.01,3.06
11587,2018-07-08 03:03:00,40.12,9.10
2719,2018-07-08 03:04:00,40.31,4.29
9659,2018-07-08 03:07:00,39.79,3.40
11552,2018-07-08 03:08:00,39.87,5.28
11586,2018-07-08 03:11:00,39.70,3.27
4382,2018-07-08 03:12:00,39.34,7.28
4380,2018-07-08 03:12:00,39.98,2.61
11381,2018-07-08 03:12:00,39.34,4.14
11593,2018-07-08 03:13:00,39.93,3.38
11587,2018-07-08 03:13:00,40.16,5.86
2719,2018-07-08 03:14:00,40.31,1.99
9659,2018-07-08 03:17:00,39.85,4.50
11552,2018-07-08 03:18:00,39.78,3.28
11586,2018-07-08 03:21:00,39.70,3.40
4382,2018-07-08 03:22:00,39.40,12.52
4380,2018-07-08 03:22:00,39.97,3.00
11381,2018-07-08 03:22:00,39.34,2.45
11587,2018-07-08 03:23:00,40.19,4.36
11593,2018-07-08 03:23:00,39.85,3.39
2719,2018-07-08 03:24:00,40.31,1.62
9659,2018-07-08 03:27:00,39.91,3.28
11552,2018-07-08 03:28:00,39.70,2.94
11586,2018-07-08 03:31:00,39.70,2.59
4380,2018-07-08 03:32:00,40.03,2.01
11381,2018-07-08 03:32:00,39.34,5.76
4382,2018-07-08 03:32:00,39.40,7.54
11587,2018-07-08 03:33:00,40.19,5.55
11593,2018-07-08 03:33:00,39.82,3.56
2719,2018-07-08 03:34:00,40.31,2.68
9659,2018-07-08 03:37:00,39.97,3.31
11552,2018-07-08 03:38:00,39.70,6.11
11586,2018-07-08 03:41:00,39.73,3.03
4382,2018-07-08 03:42:00,39.37,8.75
4380,2018-07-08 03:42:00,40.10,1.69
11381,2018-07-08 03:42:00,39.34,5.95
11587,2018-07-08 03:43:00,40.19,6.20
11593,2018-07-08 03:43:00,39.82,4.99
2719,2018-07-08 03:44:00,40.34,4.40
9659,2018-07-08 03:47:00,40.06,4.04
11552,2018-07-08 03:48:00,39.76,3.69
11586,2018-07-08 03:51:00,39.82,2.85
4380,2018-07-08 03:52:00,40.10,1.37
11381,2018-07-08 03:52:00,39.31,3.85
4382,2018-07-08 03:52:00,39.34,9.11
11593,2018-07-08 03:53:00,39.85,3.18
11587,2018-07-08 03:53:00,40.19,5.06
2719,2018-07-08 03:54:00,40.37,8.16
9659,2018-07-08 03:57:00,40.12,4.00
11552,2018-07-08 03:58:00,39.79,3.28
11586,2018-07-08 04:01:00,39.88,3.73
4380,2018-07-08 04:02:00,40.12,2.38
4382,2018-07-08 04:02:00,39.31,15.07
11381,2018-07-08 04:02:00,39.31,5.42
11587,2018-07-08 04:03:00,40.19,5.39
